,hx+,hx-,hy+,hy-,hx,hy,kx,ky,H,H_error,B,B_error,length,mu,mu_error
8,4.0,4.0,0.8,0.8,4.0,0.8,0.1,0.005,1344.0,166.64688868214137,0.25846762758123804,0.04164050510984772,0.0,153.03720445978104,31.11184150460696
9,2.4,3.0,1.2,1.2,2.7,1.2,0.2,0.005,1814.4,230.37208161430019,0.3877014413718571,0.05095636410531298,0.0,170.04133828864556,31.074059463031404
10,3.6,3.6,1.6,1.8,3.6,1.7000000000000002,0.2,0.005,2419.2000000000003,301.3911920479747,0.5492437086101309,0.06449843923460519,0.0,180.66892193168593,30.93136871649067
11,4.2,4.4,2.0,2.4,4.300000000000001,2.2,0.2,0.005,2889.600000000001,357.30872842421894,0.7107859758484046,0.07913711768323775,0.0,195.7452615183245,32.57037963654151
12,2.0,2.2,2.6,3.0,2.1,2.8,0.5,0.005,3528.0,460.2234078544789,0.9046366965343331,0.09745514896131978,0.0,204.04960594637467,34.521382810754666
13,2.4,2.6,3.4,3.2,2.5,3.3,0.5,0.005,4200.0,537.0307099887997,1.066178963772607,0.11307626821751682,0.0,202.00910988691095,33.55876036011449
14,3.2,3.2,4.0,4.0,3.2,4.0,0.5,0.005,5376.0,674.16586098601,1.2923381379061902,0.1352635342757935,0.0,191.2965055747263,31.246865393036813
15,3.2,3.6,2.2,2.2,3.4000000000000004,2.2,0.5,0.01,5712.000000000001,713.7571002996041,1.4215719516968093,0.1582742353664755,0.0,198.0481469479519,33.14595027027718
1,2.8,3.2,0.8,0.8,3.0,0.8,0.1,0.005,1008.0000000000001,126.94570433037062,0.25846762758123804,0.04164050510984772,1.0,204.04960594637467,41.7256988042203
0,2.6,2.4,2.0,2.0,2.5,2.0,0.2,0.005,1680.0,214.8122839955199,0.6461690689530951,0.07319107219688169,1.0,306.074408919562,52.28341964826236
7,2.8,3.0,2.6,2.4,2.9,2.5,0.2,0.005,1948.8,246.03072801865298,0.8077113361913689,0.08822159626319369,1.0,329.82156133573494,55.059753594994
2,3.4,3.2,2.8,2.8,3.3,2.8,0.2,0.005,2217.6,277.5775548274752,0.9046366965343331,0.09745514896131978,1.0,324.62437309650517,53.61023936184086
3,4.8,4.6,3.8,3.2,4.699999999999999,3.5,0.2,0.005,3158.3999999999996,389.41947866642,1.1307958706679164,0.11938465301264967,1.0,284.9096891538477,46.24695731994715
4,2.4,2.4,2.0,2.0,2.4,2.0,0.5,0.01,4032.0,517.6910561009742,1.2923381379061902,0.14638214439376337,1.0,255.06200743296836,43.671016554436356
5,3.2,2.8,2.2,2.2,3.0,2.2,0.5,0.01,5040.0,634.728521651853,1.4215719516968093,0.1582742353664755,1.0,224.45456654101216,37.730047416779044
6,3.2,3.2,2.2,2.4,3.2,2.3,0.5,0.01,5376.0,674.16586098601,1.4861888585921186,0.16429128759359066,1.0,219.9909814109352,36.77612251259884
