,hy+,hy-,hx,kx,ky,H,H_error,B-,B-_error,B+,B+_error,length,S,W,P
0,3.4,3.4,4.0,0.2,0.005,2688.0,333.29377736428273,1.0984874172202619,0.11622687366638752,1.0984874172202619,0.11622687366638752,1.0,12.8,2779.043931753472,138952.1965876736
1,3.0,2.2,3.0,0.2,0.005,2016.0000000000002,253.89140866074123,0.7107859758484047,0.07913711768323775,0.9692536034296426,0.10367402835699252,1.0,1.2899612397277682,521.6576150767577,26082.880753837882
2,2.8,1.2,2.0,0.2,0.005,1344.0,176.5164737565251,0.3877014413718571,0.05095636410531298,0.9046366965343331,0.09745514896131978,1.0,,,
3,2.4,-0.2,1.0,0.2,0.005,672.0,105.71847698893274,-0.06461690689530951,0.03296918459760225,0.7754028827437142,0.08517450134162859,1.0,,,
4,1.6,-1.6,0.0,0.2,0.005,0.0,67.2,-0.5169352551624761,0.06167834442229455,0.5169352551624761,0.06167834442229455,1.0,,,
5,0.4,-2.0,-1.0,0.2,0.005,-672.0,105.71847698893274,-0.6461690689530951,0.07319107219688169,0.12923381379061902,0.03487635358785762,1.0,,,
6,-1.2,-2.8,-2.0,0.2,0.005,-1344.0,176.5164737565251,-0.9046366965343331,0.09745514896131978,-0.3877014413718571,0.05095636410531298,1.0,,,
7,-2.4,-3.0,-3.0,0.2,0.005,-2016.0000000000002,253.89140866074123,-0.9692536034296426,0.10367402835699252,-0.7754028827437142,0.08517450134162859,1.0,,,
8,-3.4,-3.4,-4.0,0.2,0.005,-2688.0,333.29377736428273,-1.0984874172202619,0.11622687366638752,-1.0984874172202619,0.11622687366638752,1.0,,,
9,1.8,1.8,4.0,0.2,0.005,2688.0,333.29377736428273,0.5815521620577857,0.06736055701336408,0.5815521620577857,0.06736055701336408,0.0,3.6000000000000005,781.6061058056641,39080.305290283206
10,1.6,1.2,3.0,0.2,0.005,2016.0000000000002,253.89140866074123,0.3877014413718571,0.05095636410531298,0.5169352551624761,0.06167834442229455,0.0,0.3939543120718443,150.45571525826952,7522.785762913476
11,1.2,0.8,2.0,0.2,0.005,1344.0,176.5164737565251,0.25846762758123804,0.04164050510984772,0.3877014413718571,0.05095636410531298,0.0,,,
12,0.8,0.2,1.0,0.2,0.005,672.0,105.71847698893274,0.06461690689530951,0.03296918459760225,0.25846762758123804,0.04164050510984772,0.0,,,
13,0.4,-0.4,0.0,0.2,0.005,0.0,67.2,-0.12923381379061902,0.03487635358785762,0.12923381379061902,0.03487635358785762,0.0,,,
14,-0.2,-0.8,-1.0,0.2,0.005,-672.0,105.71847698893274,-0.25846762758123804,0.04164050510984772,-0.06461690689530951,0.03296918459760225,0.0,,,
15,-0.8,-1.2,-2.0,0.2,0.005,-1344.0,176.5164737565251,-0.3877014413718571,0.05095636410531298,-0.25846762758123804,0.04164050510984772,0.0,,,
16,-1.2,-1.6,-3.0,0.2,0.005,-2016.0000000000002,253.89140866074123,-0.5169352551624761,0.06167834442229455,-0.3877014413718571,0.05095636410531298,0.0,,,
17,-1.8,-1.8,-4.0,0.2,0.005,-2688.0,333.29377736428273,-0.5815521620577857,0.06736055701336408,-0.5815521620577857,0.06736055701336408,0.0,,,
